genre_ids,id,original_language,overview,popularity,vote_average,vote_count,release_date,title,Title,Type,Netflix Release Date,Days in Top Ten,Viewership Score
"[18, 10749]",25643,en,"Dr. Burke Ryan is a successful self-help author and motivational speaker with a secret. While he helps thousands of people cope with tragedy and personal loss, he secretly is unable to overcome the death of his late wife. It's not until Burke meets a fiercely independent florist named Eloise that he is forced to face his past and overcome his demons.",9.754,5.9,506,2009-09-18,Love Happens,Love Happens,Movie,1-May-21,6,29
"[12, 18, 10751]",671295,en,"To save their cash-strapped orphanage, a guardian and his kids partner with a washed-up boat captain for a chance to win a lucrative fishing competition.",373.731,7.6,71,2021-05-27,Blue Miracle,Blue Miracle,Movie,27-May-21,4,27
"[10752, 28, 12, 18, 53]",22972,en,"During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.",14.155,6.5,1652,2010-03-11,Green Zone,Green Zone,Movie,1-May-21,6,27
"[12, 16, 35, 10751, 10402]",570480,en,A pampered dog named Trouble must learn to live in the real world while trying to escape from his former owner's greedy children and must learn how to survive on the big-city streets.,49.247,6.6,88,2019-08-08,Dog Gone Trouble,Dog Gone Trouble,Movie,28-May-21,3,26
"[28, 18, 53, 80]",144336,en,"John ""Breacher"" Wharton leads an elite DEA task force that takes on the world's deadliest drug cartels. When the team successfully executes a high-stakes raid on a cartel safe house, they think their work is done – until, one-by-one, the team members mysteriously start to be eliminated. As the body count rises, everyone is a suspect.",17.17,5.6,1047,2014-03-28,Sabotage,Sabotage,Movie,19-May-21,7,26
"[28, 80, 18, 53]",493065,en,"Four boyhood friends return to New Orleans’ Lower Ninth Ward after Hurricane Katrina, to find their home decimated and prospects for work swept away. Turning to a local gangster for employment, the crew is hired to pull off a daring casino heist, right in the heart of the city.",11.051,6.7,99,2020-07-31,Cut Throat City,Cut Throat City,Movie,20-Jan-21,4,25
[18],641662,en,"When a young mother's home birth ends in unfathomable tragedy, she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.",15.041,7.1,733,2020-12-30,Pieces of a Woman,Pieces of a Woman,Movie,7-Jan-21,4,24
[99],801058,en,"Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species — and uncovers an alarming global conspiracy.",13.455,8.0,203,2021-03-24,Seaspiracy,Seaspiracy,Movie,24-Mar-21,8,24
[],454063,en,16mm film (b&amp;w),0.6,0.0,0,2000-01-01,The Vanished,The Vanished,Movie,15-Jan-21,12,24
"[53, 28, 80, 18]",102362,en,"In New York City, a crime lord's right-hand man is seduced by a woman seeking retribution.",11.073,6.1,1110,2013-03-08,Dead Man Down,Dead Man Down,Movie,6-Nov-13,6,22
"[28, 18, 10752]",407375,en,"Elite snipers Brandon Beckett and Richard Miller are tasked with protecting a gas pipeline from terrorists looking to make a statement. When battles with the enemy lead to snipers being killed by a ghost shooter who knows their exact location, tensions boil as a security breach is suspected. Is there someone working with the enemy on the inside? Is the mission a front for other activity? Is the Colonel pulling the strings?",20.959,6.6,123,2016-08-02,Sniper: Ghost Shooter,Sniper: Ghost Shooter,Movie,1-Apr-21,9,21
"[18, 28, 80, 53]",155,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",71.928,8.5,25216,2008-07-16,The Dark Knight,The Dark Knight,Movie,1-Mar-21,8,21
"[80, 18, 9648, 53]",823855,en,A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.,1284.3,6.8,102,2021-05-14,I Am All Girls,I Am All Girls,Movie,14-May-21,6,19
"[10751, 16, 878, 35]",663459,en,The Jungle Beat animals think it’s the best thing ever when an alien arrives in the jungle bringing with him the power of speech. They also surprisingly think it’s the best thing ever when they find out that he’s been sent to conquer them.,34.699,7.3,86,2020-07-02,Jungle Beat: The Movie,Jungle Beat: The Movie,Movie,14-May-21,6,17
"[28, 12, 35]",62206,en,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and advise him that he has mere hours to rob a bank or else...",12.457,5.7,1240,2011-08-11,30 Minutes or Less,30 Minutes or Less,Movie,1-Jan-21,5,16
"[14, 28, 878]",590706,en,"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",341.945,5.2,386,2020-11-20,Jiu Jitsu,Jiu Jitsu,Movie,20-Mar-21,4,16
"[53, 18, 27]",649087,sv,"On a hiking trip to rekindle their marriage, a couple find themselves fleeing for their lives in the unforgiving wilderness from an unknown shooter.",260.373,5.9,471,2021-02-11,Red Dot,Red Dot,Movie,11-Feb-21,5,16
[35],8835,en,"Elle Woods has it all. She's the president of her sorority, a Hawaiian Tropic girl, Miss June in her campus calendar, and, above all, a natural blonde. She dates the cutest fraternity boy on campus and wants nothing more than to be Mrs. Warner Huntington III. But, there's just one thing stopping Warner from popping the question: Elle is too blonde.",33.051,6.6,2687,2001-07-13,Legally Blonde,Legally Blonde,Movie,1-Apr-21,6,13
"[18, 36, 10752]",857,en,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",43.929,8.2,11784,1998-07-24,Saving Private Ryan,Saving Private Ryan,Movie,1-Apr-21,4,13
"[27, 9648, 53]",259693,en,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,975.741,7.2,5944,2016-05-13,The Conjuring 2,The Conjuring 2,Movie,21-Feb-21,4,13
"[35, 10749]",787298,pl,A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,44.551,6.4,177,2021-02-11,Squared Love,Squared Love,Movie,11-Feb-21,4,12
"[18, 10751, 10402, 10749]",699102,en,"Troubled teen Will Hawkins has a run-in with the law that puts him at an important crossroad: go to juvenile detention or attend a Christian summer camp. At first a fish-out-of-water, Will opens his heart, discovers love with a camp regular, and sense of belonging in the last place he expected to find it.",85.738,7.1,201,2021-03-26,A Week Away,A Week Away,Movie,26-Mar-21,4,11
"[80, 18]",628534,en,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,38.531,6.9,531,2021-01-13,The White Tiger,The White Tiger,Movie,22-Jan-21,2,11
"[16, 35, 10751]",50359,en,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In L.A., he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",16.32,5.7,912,2011-03-30,Hop,Hop,Movie,16-Jan-20,2,10
"[878, 28]",560144,en,"When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",351.015,5.8,290,2020-10-25,Skylines,Skylines,Movie,18-Mar-21,4,9
"[80, 18]",13199,en,"During his 18 years in Folsom Prison, street-gang leader Santana rules over all the drug-and-murder activities behind bars. Upon his release, Santana goes back to his old neighborhood, intending to lead a peaceful, crime-free life. But his old gang buddies force him back into his old habits.",17.474,7.4,201,1992-03-13,American Me,American Me,Movie,17-Apr-21,3,7
[99],694681,en,"A documentary on the last remaining Blockbuster Video in Bend, Oregon.",5.152,6.8,41,2020-12-15,The Last Blockbuster,The Last Blockbuster,Movie,15-Mar-21,5,6
"[16, 35, 10751, 37, 12]",44896,en,"When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging town of Dirt, the less-than-courageous lizard suddenly finds he stands out. Welcomed as the last hope the town has been waiting for, new Sheriff Rango is forced to play his new role to the hilt.",43.71,6.7,4760,2011-03-02,Rango,Rango,Movie,28-Dec-20,1,3
"[18, 14, 878]",581389,ko,"When the crew of a space junk collector ship called The Victory discovers a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business deal which puts their lives at stake.",366.618,7.2,565,2021-02-05,Space Sweepers,Space Sweepers,Movie,5-Feb-21,1,3
"[12, 16, 35, 10751]",412117,en,"Max the terrier must cope with some major life changes when his owner gets married and has a baby. When the family takes a trip to the countryside, nervous Max has numerous run-ins with canine-intolerant cows, hostile foxes and a scary turkey. Luckily for Max, he soon catches a break when he meets Rooster, a gruff farm dog who tries to cure the lovable pooch of his neuroses.",80.784,7.0,2152,2019-05-24,The Secret Life of Pets 2,The Secret Life of Pets 2,Movie,27-Dec-19,1,2
"[35, 12, 14]",38319,en,"A fantasy movie about an arrogant, lazy prince and his more heroic brother who must complete a quest in order to save their father's kingdom.",11.419,5.4,979,2011-04-08,Your Highness,Your Highness,Movie,1-May-21,1,2
"[10751, 12, 35, 10749]",11637,en,"The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Years Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom dates, are determined to turn the trip into a nightmare for Nick.",14.411,5.5,670,2005-01-20,Are We There Yet?,Are We There Yet?,Movie,1-Feb-21,1,1
"[10402, 18, 10749]",85446,en,"Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.",21.684,6.9,1713,2012-07-26,Step Up Revolution,Step Up Revolution,Movie,1-Mar-21,1,1
"[12, 10751, 14]",267935,en,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",33.055,6.2,2582,2016-06-01,The BFG,The BFG,Movie,15-Mar-21,1,1
