title,name,release_date,popularity,vote_average,vote_count
Camp Rock 2: The Final Jam,Music,2010-09-03,11.542,6.1,878
Camp Rock 2: The Final Jam,TV Movie,2010-09-03,11.542,6.1,878
Green Zone,War,2010-03-11,11.519,6.4,1176
Green Zone,Action,2010-03-11,11.519,6.4,1176
Green Zone,Adventure,2010-03-11,11.519,6.4,1176
Green Zone,Drama,2010-03-11,11.519,6.4,1176
Green Zone,Thriller,2010-03-11,11.519,6.4,1176
Justice League: Crisis on Two Earths,Action,2010-02-23,11.498,7.2,277
Justice League: Crisis on Two Earths,Adventure,2010-02-23,11.498,7.2,277
Justice League: Crisis on Two Earths,Animation,2010-02-23,11.498,7.2,277
Remember Me,Drama,2010-03-12,11.453,7.1,2079
Remember Me,Romance,2010-03-12,11.453,7.1,2079
127 Hours,Adventure,2010-11-05,11.435,7.0,4469
127 Hours,Drama,2010-11-05,11.435,7.0,4469
127 Hours,Thriller,2010-11-05,11.435,7.0,4469
Scooby-Doo! Curse of the Lake Monster,Mystery,2010-10-15,11.372,5.6,171
Scooby-Doo! Curse of the Lake Monster,Fantasy,2010-10-15,11.372,5.6,171
Scooby-Doo! Curse of the Lake Monster,Comedy,2010-10-15,11.372,5.6,171
Scooby-Doo! Curse of the Lake Monster,Adventure,2010-10-15,11.372,5.6,171
Piranha 3D,Comedy,2010-08-20,11.302,5.3,1029
Piranha 3D,Horror,2010-08-20,11.302,5.3,1029
Valhalla Rising,Adventure,2010-07-16,11.26,6.0,582
Valhalla Rising,Drama,2010-07-16,11.26,6.0,582
Valhalla Rising,Action,2010-07-16,11.26,6.0,582
Valhalla Rising,Fantasy,2010-07-16,11.26,6.0,582
Edge of Darkness,Crime,2010-01-29,11.252,6.3,794
Edge of Darkness,Drama,2010-01-29,11.252,6.3,794
Edge of Darkness,Mystery,2010-01-29,11.252,6.3,794
Edge of Darkness,Thriller,2010-01-29,11.252,6.3,794
The Extraordinary Adventures of Adèle Blanc-Sec,Fantasy,2010-04-14,11.221,6.0,671
The Extraordinary Adventures of Adèle Blanc-Sec,Adventure,2010-04-14,11.221,6.0,671
The Extraordinary Adventures of Adèle Blanc-Sec,Action,2010-04-14,11.221,6.0,671
The Extraordinary Adventures of Adèle Blanc-Sec,Mystery,2010-04-14,11.221,6.0,671
Valentine's Day,Comedy,2010-02-11,11.187,5.8,1907
Valentine's Day,Romance,2010-02-11,11.187,5.8,1907
The Next Three Days,Romance,2010-11-19,11.147,7.0,1469
The Next Three Days,Drama,2010-11-19,11.147,7.0,1469
The Next Three Days,Thriller,2010-11-19,11.147,7.0,1469
The Next Three Days,Crime,2010-11-19,11.147,7.0,1469
Kung Fu Panda Holiday,Animation,2010-11-26,11.083,6.6,110
Kung Fu Panda Holiday,Family,2010-11-26,11.083,6.6,110
Kung Fu Panda Holiday,TV Movie,2010-11-26,11.083,6.6,110
Buried,Drama,2010-09-24,10.888,6.6,1487
Buried,Thriller,2010-09-24,10.888,6.6,1487
Buried,Mystery,2010-09-24,10.888,6.6,1487
Ran,Action,1985-09-26,10.885,8.1,600
Ran,Drama,1985-09-26,10.885,8.1,600
Ran,History,1985-09-26,10.885,8.1,600
Operation: Endgame,Adventure,2010-07-20,10.799,4.9,88
Operation: Endgame,Action,2010-07-20,10.799,4.9,88
Operation: Endgame,Comedy,2010-07-20,10.799,4.9,88
