release_date,movie,production_budget,domestic_gross,domestic_profit,domestic_ROI,Year
11/21/2014,Food Chains,913000,0,-913000,-100,2014
12/31/2014,40 Weeks,900000,0,-900000,-100,2014
8/26/2011,Circumstance,900000,454121,-445879,-49.54211111,2011
7/12/2013,Fruitvale Station,900000,16098998,15198998,1688.777556,2013
5/5/2015,Le bonheur d'Elza,900000,0,-900000,-100,2015
4/1/2016,Meet the Blacks,900000,9097072,8197072,910.7857778,2016
4/5/2013,The Brass Teapot,900000,6997,-893003,-99.22255556,2013
4/27/2012,The Giant Mechanical Man,900000,7396,-892604,-99.17822222,2012
8/31/2012,"For a Good Time, Call",850000,1251749,401749,47.26458824,2012
12/31/2012,Snitch,850000,0,-850000,-100,2012
8/28/2015,Windsor Drive,850000,3256,-846744,-99.61694118,2015
8/3/2012,Celeste and Jesse Forever,840000,3103407,2263407,269.4532143,2012
12/30/2011,Jodaeiye Nader az Simin,800000,7098492,6298492,787.3115,2011
2/3/2012,Kill List,800000,29063,-770937,-96.367125,2012
9/19/2014,Not Cool,800000,35688,-764312,-95.539,2014
1/9/2015,Vessel,800000,0,-800000,-100,2015
1/5/2016,Adulterers,750000,0,-750000,-100,2016
10/11/2013,All the Boys Love Mandy Lane,750000,0,-750000,-100,2013
12/31/2014,Destiny,750000,0,-750000,-100,2014
8/29/2014,Il conformista,750000,59656,-690344,-92.04586667,2014
9/9/2011,Kevin Hart: Laugh at My Pain,750000,7706436,6956436,927.5248,2011
6/8/2012,Safety Not Guaranteed,750000,4010957,3260957,434.7942667,2012
2/3/2012,The Innkeepers,750000,78396,-671604,-89.5472,2012
1/26/2010,B-Girl,700000,0,-700000,-100,2010
8/4/2017,Columbus,700000,1017107,317107,45.301,2017
3/13/2015,Walter,700000,0,-700000,-100,2015
12/31/2012,After,650000,0,-650000,-100,2012
10/11/2013,Escape from Tomorrow,650000,171962,-478038,-73.54430769,2013
12/14/2018,That Way Madness Lies,650000,1447,-648553,-99.77738462,2018
12/31/2014,The Hadza: Last of the First,650000,0,-650000,-100,2014
12/31/2013,Treachery,625000,0,-625000,-100,2013
5/22/2015,Drunk Wedding,600000,3301,-596699,-99.44983333,2015
2/24/2015,Irreplaceable,600000,0,-600000,-100,2015
12/31/2014,Light from the Darkroom,600000,0,-600000,-100,2014
8/8/2014,The Maid's Room,600000,0,-600000,-100,2014
3/4/2016,They Will Have to Kill Us First,600000,0,-600000,-100,2016
5/2/2014,Water & Power,600000,42557,-557443,-92.90716667,2014
12/31/2015,Julija in alfa Romeo,560000,0,-560000,-100,2015
7/29/2011,The Harvest/La Cosecha,560000,3709,-556291,-99.33767857,2011
9/12/2014,Faith Connections,550000,9111,-540889,-98.34345455,2014
3/6/2012,High Road,546173,0,-546173,-100,2012
8/11/2015,Alleluia! The Devil's Carnival,500000,0,-500000,-100,2015
12/31/2014,America Is Still The Place,500000,0,-500000,-100,2014
9/10/2014,Born to Fly: Elizabeth Streb vs. Gravity,500000,1822,-498178,-99.6356,2014
12/1/2015,Brooklyn Bizarre,500000,0,-500000,-100,2015
12/31/2013,Bucky and the Squirrels,500000,0,-500000,-100,2013
6/23/2015,Crossroads,500000,0,-500000,-100,2015
4/17/2013,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,500000,152449,-347551,-69.5102,2013
6/28/2013,Detention of the Dead,500000,1778,-498222,-99.6444,2013
12/31/2014,Diamond Ruff,500000,0,-500000,-100,2014
8/23/2013,Drinking Buddies,500000,343706,-156294,-31.2588,2013
12/31/2010,Drones,500000,0,-500000,-100,2010
12/31/2012,El rey de Najayo,500000,0,-500000,-100,2012
4/3/2012,Enter Nowhere,500000,0,-500000,-100,2012
12/31/2015,Fight to the Finish,500000,0,-500000,-100,2015
7/17/2012,Girls Gone Dead,500000,0,-500000,-100,2012
5/11/2018,Higher Power,500000,528,-499472,-99.8944,2018
